Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality,lat,long
30806,US-Mexico Border,15-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30807,Central America,15-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Río Blanco, Carlos Marx Colony, Orizaba, Veracruz, Mexico",El Mundo de Orizaba,Central America to US,http://bit.ly/2l2W9AE,Central America,1,18.8366003,-97.1100425
30808,Mediterranean,15-Feb-17,2017,Feb,0,9,9,2,0,0,0,Drowning,"Gibraltar Strait, near Tangier, Morroco",Salvamento Maritimo via Twitter and Entre Fronteras,Western Mediterranean,"http://bit.ly/2laD29F, http://bit.ly/2kBejcG",Uncategorized,5,35.85457182,-5.797675592
30801,North Africa,14-Feb-17,2017,Feb,7,0,7,0,0,0,0,Vehicle Accident,"Around border crossing area in the Sahra desert near to Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,21.9996695,31.1641968
30802,North Africa,14-Feb-17,2017,Feb,1,0,1,0,0,0,0,"Starvation, Sexual abuse","around Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,15.5015341,32.5025561
30803,North Africa,14-Feb-17,2017,Feb,1,0,1,0,0,0,0,"Starvation, Sexual abuse","In the desert on a small cave, Between Karima and Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Uncategorized,2,21.1240976,31.7702465
30804,North Africa,14-Feb-17,2017,Feb,1,0,1,0,0,0,0,Sickness and lack of access to medicines,"In the Desert, near Khartoum, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,15.6291005,30.9519604
30805,US-Mexico Border,14-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30798,Horn of Africa,13-Feb-17,2017,Feb,6,0,6,0,0,0,0,Sickness and lack of access to medicines,"In sea, near Sana, Yemen",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Eastern Africa,2,15.5466581,42.3282464
30799,US-Mexico Border,13-Feb-17,2017,Feb,1,0,1,0,1,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30800,Central America,13-Feb-17,2017,Feb,1,0,1,0,0,1,0,Vehicle Accident,"San Martín de las Pirámides, Mexico",Teotihuacan en Linea Diario,Central America to US,http://bit.ly/2nIbZG0,Central America,1,19.6955139,-98.8961571
30796,Mediterranean,12-Feb-17,2017,Feb,0,2,2,3,0,0,0,Drowning,"Gibraltar Strait, near Tarifa, Spain","Andalucía Informacion, Europa Sur",Western Mediterranean,"http://bit.ly/2kFGuYF, http://bit.ly/2kseTcC",Uncategorized,3,35.97469196,-5.615392255
30797,Europe,12-Feb-17,2017,Feb,1,0,1,0,0,1,0,Hypothermia,"near Pirot in the Serbian-Bulgarian border, Serbia",UNHCR,Western Balkans,http://bit.ly/2kwb5Y4,Eastern Europe,4,43.0972495,22.8502873
43944,US-Mexico Border,12-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"Mariposa Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.1835782,-98.0559246
30794,Horn of Africa,11-Feb-17,2017,Feb,1,0,1,0,0,0,0,"Shot, Stabbed","Homip, Near Forto sawa, Eritrea",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Eastern Africa,2,15.7029935,36.9821663
30795,US-Mexico Border,11-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30790,US-Mexico Border,10-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30791,US-Mexico Border,10-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30792,US-Mexico Border,10-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30793,North Africa,10-Feb-17,2017,Feb,3,0,3,0,0,0,0,Starvation,Unespecified location in Libya,Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,26.669984,14.8615951
43942,US-Mexico Border,10-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"Cage Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.1058788,-98.2058397
30786,North Africa,9-Feb-17,2017,Feb,5,0,5,0,0,0,0,"Starvation, Sexual abuse",Around the borders of Egypt and Sudan near to Aswan,Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,21.9996695,31.1641968
30787,US-Mexico Border,9-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30788,US-Mexico Border,9-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Rio Bravo, Colonia Viveros, 88070 Nuevo Laredo, Tamaulipas, Mexico",Lider Web,Central America to US,http://bit.ly/2kJPr5I,Central America,1,27.4565378,-99.5698487
30784,US-Mexico Border,8-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30785,North Africa,8-Feb-17,2017,Feb,1,0,1,0,0,0,0,Excessive Physical Abuse,"Gulsa, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,15.2380891,36.4962555
44441,South Asia,8-Feb-17,2017,Feb,1,0,1,0,0,1,0,Vehicle Accident,"Bam, Kerman province, Iran",IOM Afghanistan, , ,Southern Asia,4,29.0984956,58.337468
30783,Southeast Asia,7-Feb-17,2017,Feb,7,6,13,2,0,0,3,Drowning,"Near Sabha, Malaysia","AFP, IOM Indonesia",Malaysia to Indonesia,"http://bit.ly/2lDarfh, http://bit.ly/2m8IcmC",South-eastern Asia,4,6.2520549,116.1447512
30781,Central America,6-Feb-17,2017,Feb,1,0,1,0,0,1,0,Train Accident,"Highway Magdalena to Etzatlán, Jalisco, Mexico",Ernesto Villalpando Noticias,Central America to US,http://bit.ly/2k7ei4V,Central America,1,20.7684452,-104.0882357
30782,Mediterranean,6-Feb-17,2017,Feb,1,0,1,0,0,1,1,Dehydration,"Hospital in Vibo Valentia, Italy",Lametino,Central Mediterranean,"http://bit.ly/2kQ9Zu3, http://bit.ly/2kTqzZJ",Uncategorized,3,38.6757774,16.0983488
43939,US-Mexico Border,6-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"Cage Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.1058788,-98.2058397
43941,US-Mexico Border,6-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"La India Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.15613905,-98.27326076
30777,US-Mexico Border,5-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Río Bravo, ejido Purísima, Cuidad Acuña, Cohauila, Mexico",Zocalo,Central America to US,http://bit.ly/2leDSRH,Central America,1,29.1741116,-100.7961302
30778,US-Mexico Border,5-Feb-17,2017,Feb,1,0,1,0,0,1,0,Drowning,"Río Bravo, Colonia Claudette, Nuevo Laredo, Tamaulipas, Mexico",Telered Noticias,Central America to US,https://t.co/DabSx6P4Rv,Central America,1,27.4565378,-99.5698487
30779,Mediterranean,5-Feb-17,2017,Feb,1,0,1,45,1,0,0,Drowning,"Off the coast of Ayvalik, Turkey",Daily Sabha,Eastern Mediterranean,http://bit.ly/2lafynZ,Uncategorized,1,39.343261,26.671927
30780,Europe,5-Feb-17,2017,Feb,1,0,1,0,0,1,0,Train Accident,"A10, near Ventimiglia, Italy",Laguria Notizie, ,http://bit.ly/2jQVCBm,Southern Europe,1,43.7996518,7.5907284
44007,Central America,5-Feb-17,2017,Feb,1,0,1,0,0,1,0,Train Accident,"Train tracks near Tostaditas Blancas, Mazatlán, Sinaloa, Mexico",Punto MX,Central America to US,http://bit.ly/2j0QnBs,Central America,1,23.25788348,-106.4194053
49487,South Asia,5-Feb-17,2017,Feb,5,0,5,0,0,5,0,"Starvation, Dehydration","West Azerbaijan province, Iran",Mixed Migration Monitoring Mechanism Initiative (4mi), ,http://www.mixedmigration.org/4mi/,Southern Asia,2,38.212144,44.641717
30775,Mediterranean,4-Feb-17,2017,Feb,0,3,3,113,0,0,3,Drowning,"Off the coast of Tripoli, Libya",IOM Libya,Central Mediterranean,http://bit.ly/2kmySwy,Uncategorized,4,32.8629706,13.1215797
30776,Central America,4-Feb-17,2017,Feb,1,0,1,0,0,1,0,Fall from train,"Train tracks in Súchiles, Omealca, Veracruz, Mexico",El Mundo Cordoba,Central America to US,http://bit.ly/2lINLKy,Central America,1,19.1834166,-96.1866971
30772,Horn of Africa,3-Feb-17,2017,Feb,7,0,7,100,0,7,0,Drowning,"Al-Sudaf, Lahij Governorate, Yemen",UNHCR, ,http://bit.ly/2kJbHNV,Western Asia,4,12.51080187,44.23737658
